file,bead_number,start_index,end_index,original_file_label,refined_label,Random Forest_Prediction,HistGradientBoosting_Prediction,Logistic Regression_Prediction,SVM_Prediction,XGBoost_Prediction,KNN_Prediction,Neural Network_Prediction
103351_BM4A2NE1T220810Y0188.csv,14,87174,88648,OK,OK,OK,OK,OK,OK,OK,OK,OK
103351_BM4A2NE1T220810Y0188.csv,15,88810,90284,OK,OK,OK,OK,OK,OK,OK,OK,OK
103351_BM4A2NE1T220810Y0188.csv,16,90429,91903,OK,OK,,,,,,,
103351_BM4A2NE1T220810Y0188.csv,17,103657,105132,OK,OK,OK,OK,Weak Weld,Weak Weld,OK,OK,OK
103351_BM4A2NE1T220810Y0188.csv,18,105283,106757,OK,OK,,,,,,,
103351_BM4A2NE1T220810Y0188.csv,19,106906,108380,OK,OK,,,,,,,
103351_BM4A2NE1T220810Y0188.csv,20,108541,110015,OK,OK,Weak Weld,OK,Weak Weld,Weak Weld,Weak Weld,Weak Weld,OK
103351_BM4A2NE1T220810Y0188.csv,21,110194,111668,OK,OK,OK,OK,Weak Weld,Weak Weld,OK,OK,OK
103351_BM4A2NE1T220810Y0188.csv,22,111819,113293,OK,OK,OK,OK,Weak Weld,Weak Weld,OK,OK,OK
103351_BM4A2NE1T220810Y0188.csv,23,124639,126113,OK,OK,,,,,,,
103351_BM4A2NE1T220810Y0188.csv,24,126264,127738,OK,OK,OK,OK,OK,OK,OK,OK,OK
103351_BM4A2NE1T220810Y0188.csv,25,127883,129357,OK,OK,OK,OK,OK,OK,OK,OK,OK
103351_BM4A2NE1T220810Y0188.csv,26,129504,130979,OK,OK,OK,Hot Melt,Hot Melt,OK,OK,Weak Weld,OK
103351_BM4A2NE1T220810Y0188.csv,27,131121,132595,OK,OK,,,,,,,
103351_BM4A2NE1T220810Y0188.csv,28,132740,134214,OK,OK,OK,OK,OK,Hot Melt,Weak Weld,OK,Hot Melt
103351_BM4A2NE1T220810Y0188.csv,29,134390,135864,OK,OK,OK,OK,OK,OK,OK,OK,OK
103351_BM4A2NE1T220810Y0188.csv,30,136018,137492,OK,OK,,,,,,,
103351_BM4A2NE1T220810Y0188.csv,31,137637,139111,OK,OK,OK,OK,OK,OK,OK,OK,OK
103351_BM4A2NE1T220810Y0188.csv,32,149306,152633,OK,OK,OK,OK,Weak Weld,Weak Weld,OK,OK,OK
103351_BM4A2NE1T220810Y0188.csv,33,152776,156102,OK,OK,OK,OK,Poor Appearance,Weak Weld,OK,OK,OK
103351_BM4A2NE1T220810Y0188.csv,34,165797,169123,OK,OK,,,,,,,
103351_BM4A2NE1T220810Y0188.csv,35,169274,172600,OK,OK,,,,,,,
112301_BM4A1NE1T220810Y0194.csv,1,8322,12315,OK,OK,OK,OK,OK,Weak Weld,OK,OK,OK
112301_BM4A1NE1T220810Y0194.csv,2,12498,16490,OK,OK,OK,OK,Weak Weld,Weak Weld,OK,OK,OK
112301_BM4A1NE1T220810Y0194.csv,3,16633,20625,OK,OK,OK,OK,Poor Appearance,Weak Weld,OK,OK,OK
112301_BM4A1NE1T220810Y0194.csv,4,40427,43753,OK,OK,,,,,,,
112301_BM4A1NE1T220810Y0194.csv,5,43936,47263,OK,OK,,,,,,,
112301_BM4A1NE1T220810Y0194.csv,6,47417,50743,OK,OK,,,,,,,
112301_BM4A1NE1T220810Y0194.csv,7,63659,65134,OK,OK,OK,OK,Weak Weld,Weak Weld,OK,Weak Weld,OK
112301_BM4A1NE1T220810Y0194.csv,8,65281,66755,OK,OK,OK,OK,Weak Weld,Weak Weld,OK,OK,OK
112301_BM4A1NE1T220810Y0194.csv,9,66904,68378,OK,OK,OK,OK,Weak Weld,Weak Weld,OK,OK,Weak Weld
112301_BM4A1NE1T220810Y0194.csv,10,68539,70013,OK,OK,,,,,,,
112301_BM4A1NE1T220810Y0194.csv,11,82158,83632,OK,OK,OK,OK,Hot Melt,OK,OK,OK,OK
112301_BM4A1NE1T220810Y0194.csv,12,83785,85259,OK,OK,OK,OK,OK,OK,OK,OK,OK
112301_BM4A1NE1T220810Y0194.csv,13,85404,86878,OK,OK,OK,OK,OK,Hot Melt,OK,OK,OK
112301_BM4A1NE1T220810Y0194.csv,14,87025,88500,OK,OK,OK,OK,Hot Melt,OK,OK,OK,OK
112301_BM4A1NE1T220810Y0194.csv,15,88662,90136,OK,OK,OK,OK,OK,OK,OK,OK,OK
112301_BM4A1NE1T220810Y0194.csv,16,90281,91755,OK,OK,,,,,,,
112301_BM4A1NE1T220810Y0194.csv,17,103712,105187,OK,OK,OK,OK,Weak Weld,Weak Weld,OK,Weak Weld,OK
112301_BM4A1NE1T220810Y0194.csv,18,105336,106811,OK,OK,,,,,,,
112301_BM4A1NE1T220810Y0194.csv,19,106960,108434,OK,OK,OK,OK,Weak Weld,Weak Weld,OK,OK,Weak Weld
112301_BM4A1NE1T220810Y0194.csv,20,108594,110068,OK,OK,,,,,,,
112301_BM4A1NE1T220810Y0194.csv,21,110247,111721,OK,OK,,,,,,,
112301_BM4A1NE1T220810Y0194.csv,22,111872,113346,OK,OK,,,,,,,
112301_BM4A1NE1T220810Y0194.csv,23,123768,125242,OK,OK,OK,OK,Hot Melt,OK,OK,OK,OK
112301_BM4A1NE1T220810Y0194.csv,24,125394,126869,OK,OK,,,,,,,
112301_BM4A1NE1T220810Y0194.csv,25,127011,128486,OK,OK,OK,OK,OK,OK,OK,OK,OK
112301_BM4A1NE1T220810Y0194.csv,26,128632,130106,OK,OK,,,,,,,
112301_BM4A1NE1T220810Y0194.csv,27,130249,131723,OK,OK,OK,OK,OK,OK,OK,OK,OK
112301_BM4A1NE1T220810Y0194.csv,28,131868,133342,OK,OK,OK,OK,OK,OK,OK,OK,OK
112301_BM4A1NE1T220810Y0194.csv,29,133519,134993,OK,OK,,,,,,,
112301_BM4A1NE1T220810Y0194.csv,30,135147,136621,OK,OK,,,,,,,
112301_BM4A1NE1T220810Y0194.csv,31,136765,138239,OK,OK,OK,OK,OK,OK,OK,OK,OK
112301_BM4A1NE1T220810Y0194.csv,32,148177,151503,OK,OK,OK,OK,Weak Weld,Weak Weld,OK,OK,OK
112301_BM4A1NE1T220810Y0194.csv,33,151647,154973,OK,OK,,,,,,,
112301_BM4A1NE1T220810Y0194.csv,34,165791,169117,OK,OK,,,,,,,
112301_BM4A1NE1T220810Y0194.csv,35,169272,172598,OK,OK,OK,OK,Hot Melt,OK,OK,OK,OK
112332_BM4A2NE1T220810Y0194.csv,1,9629,13622,OK,OK,,,,,,,
112332_BM4A2NE1T220810Y0194.csv,2,13806,17799,OK,OK,OK,OK,Weak Weld,Weak Weld,OK,OK,OK
112332_BM4A2NE1T220810Y0194.csv,3,17946,21938,OK,OK,OK,OK,Weak Weld,Weak Weld,OK,OK,OK
112332_BM4A2NE1T220810Y0194.csv,4,42806,46132,OK,OK,,,,,,,
112332_BM4A2NE1T220810Y0194.csv,5,46325,49651,OK,OK,OK,OK,Hot Melt,OK,OK,OK,OK
112332_BM4A2NE1T220810Y0194.csv,6,49805,53132,OK,OK,OK,OK,Hot Melt,OK,OK,OK,OK
112332_BM4A2NE1T220810Y0194.csv,7,64461,65935,OK,OK,OK,OK,Weak Weld,Weak Weld,OK,OK,OK
112332_BM4A2NE1T220810Y0194.csv,8,66079,67553,OK,OK,,,,,,,
112332_BM4A2NE1T220810Y0194.csv,9,67702,69176,OK,OK,OK,Weak Weld,Weak Weld,Weak Weld,Weak Weld,OK,Weak Weld
112332_BM4A2NE1T220810Y0194.csv,10,69337,70811,OK,OK,,,,,,,
112332_BM4A2NE1T220810Y0194.csv,11,81388,82862,OK,OK,OK,OK,Hot Melt,OK,OK,OK,OK
112332_BM4A2NE1T220810Y0194.csv,12,83020,84494,OK,OK,,,,,,,
112332_BM4A2NE1T220810Y0194.csv,13,84654,86128,OK,OK,,,,,,,
112332_BM4A2NE1T220810Y0194.csv,14,86276,87750,OK,OK,OK,OK,Hot Melt,OK,OK,OK,OK
112332_BM4A2NE1T220810Y0194.csv,15,87912,89386,OK,OK,,,,,,,
112332_BM4A2NE1T220810Y0194.csv,16,89531,91005,OK,OK,OK,OK,OK,OK,OK,OK,OK
112332_BM4A2NE1T220810Y0194.csv,17,101629,103104,OK,OK,,,,,,,
112332_BM4A2NE1T220810Y0194.csv,18,103254,104728,OK,OK,,,,,,,
112332_BM4A2NE1T220810Y0194.csv,19,104877,106351,OK,OK,OK,OK,Weak Weld,Weak Weld,OK,OK,OK
112332_BM4A2NE1T220810Y0194.csv,20,106511,107986,OK,OK,,,,,,,
112332_BM4A2NE1T220810Y0194.csv,21,108165,109639,OK,OK,,,,,,,
112332_BM4A2NE1T220810Y0194.csv,22,109789,111264,OK,OK,,,,,,,
112332_BM4A2NE1T220810Y0194.csv,23,122336,123810,OK,OK,,,,,,,
112332_BM4A2NE1T220810Y0194.csv,24,123955,125429,OK,OK,OK,OK,Hot Melt,OK,OK,OK,OK
112332_BM4A2NE1T220810Y0194.csv,25,125574,127048,OK,OK,OK,OK,Hot Melt,OK,OK,OK,OK
112332_BM4A2NE1T220810Y0194.csv,26,127196,128670,OK,OK,,,,,,,
112332_BM4A2NE1T220810Y0194.csv,27,128815,130289,OK,OK,,,,,,,
112332_BM4A2NE1T220810Y0194.csv,28,130451,131925,OK,OK,,,,,,,
112332_BM4A2NE1T220810Y0194.csv,29,132101,133575,OK,OK,,,,,,,
112332_BM4A2NE1T220810Y0194.csv,30,133729,135203,OK,OK,,,,,,,
112332_BM4A2NE1T220810Y0194.csv,31,135348,136822,OK,OK,OK,OK,OK,OK,OK,OK,OK
112332_BM4A2NE1T220810Y0194.csv,32,148274,151601,OK,OK,OK,OK,Weak Weld,Weak Weld,OK,OK,OK
112332_BM4A2NE1T220810Y0194.csv,33,151743,155070,OK,OK,OK,OK,Weak Weld,Weak Weld,OK,OK,OK
112332_BM4A2NE1T220810Y0194.csv,34,165781,169107,OK,OK,OK,OK,Hot Melt,OK,OK,OK,OK
112332_BM4A2NE1T220810Y0194.csv,35,169263,172589,OK,OK,OK,OK,Hot Melt,OK,OK,OK,OK
112544_BM4A2NE1T220810Y0196.csv,1,9207,13199,OK,OK,OK,OK,OK,Weak Weld,OK,OK,OK
112544_BM4A2NE1T220810Y0196.csv,2,13383,17375,OK,OK,OK,OK,Weak Weld,Weak Weld,OK,OK,OK
112544_BM4A2NE1T220810Y0196.csv,3,17523,21515,OK,OK,,,,,,,
112544_BM4A2NE1T220810Y0196.csv,4,40306,43633,OK,OK,,,,,,,
112544_BM4A2NE1T220810Y0196.csv,5,43814,47140,OK,OK,OK,OK,Hot Melt,OK,OK,OK,OK
112544_BM4A2NE1T220810Y0196.csv,6,47295,50621,OK,OK,OK,OK,Hot Melt,OK,OK,OK,OK
112544_BM4A2NE1T220810Y0196.csv,7,62905,64379,OK,OK,,,,,,,
112544_BM4A2NE1T220810Y0196.csv,8,64526,66000,OK,OK,OK,OK,Weak Weld,Weak Weld,OK,OK,OK
112544_BM4A2NE1T220810Y0196.csv,9,66149,67623,OK,OK,,,,,,,
112544_BM4A2NE1T220810Y0196.csv,10,67784,69258,OK,OK,,,,,,,
112544_BM4A2NE1T220810Y0196.csv,11,81547,83021,OK,OK,,,,,,,
112544_BM4A2NE1T220810Y0196.csv,12,83178,84652,OK,OK,,,,,,,
112544_BM4A2NE1T220810Y0196.csv,13,84814,86288,OK,OK,,,,,,,
112544_BM4A2NE1T220810Y0196.csv,14,86436,87910,OK,OK,,,,,,,
112544_BM4A2NE1T220810Y0196.csv,15,88054,89528,OK,OK,,,,,,,
112544_BM4A2NE1T220810Y0196.csv,16,89673,91147,OK,OK,OK,OK,Hot Melt,OK,OK,OK,OK
112544_BM4A2NE1T220810Y0196.csv,17,101288,102763,OK,OK,OK,OK,Weak Weld,Weak Weld,OK,OK,OK
112544_BM4A2NE1T220810Y0196.csv,18,102915,104389,OK,OK,,,,,,,
112544_BM4A2NE1T220810Y0196.csv,19,104539,106013,OK,OK,OK,OK,Weak Weld,Weak Weld,OK,OK,OK
112544_BM4A2NE1T220810Y0196.csv,20,106173,107647,OK,OK,,,,,,,
112544_BM4A2NE1T220810Y0196.csv,21,107826,109301,OK,OK,,,,,,,
112544_BM4A2NE1T220810Y0196.csv,22,109451,110925,OK,OK,,,,,,,
112544_BM4A2NE1T220810Y0196.csv,23,124135,125610,OK,OK,,,,,,,
112544_BM4A2NE1T220810Y0196.csv,24,125756,127231,OK,OK,OK,Weak Weld,OK,OK,Weak Weld,OK,OK
112544_BM4A2NE1T220810Y0196.csv,25,127376,128850,OK,OK,,,,,,,
112544_BM4A2NE1T220810Y0196.csv,26,128997,130471,OK,OK,OK,Weak Weld,Hot Melt,Hot Melt,Poor Appearance,OK,OK
112544_BM4A2NE1T220810Y0196.csv,27,130614,132088,OK,OK,,,,,,,
112544_BM4A2NE1T220810Y0196.csv,28,132232,133706,OK,OK,,,,,,,
112544_BM4A2NE1T220810Y0196.csv,29,133888,135362,OK,OK,Hot Melt,Hot Melt,Hot Melt,OK,Hot Melt,OK,OK
112544_BM4A2NE1T220810Y0196.csv,30,135513,136987,OK,OK,,,,,,,
112544_BM4A2NE1T220810Y0196.csv,31,137149,138623,OK,OK,OK,OK,Hot Melt,OK,OK,OK,OK
112544_BM4A2NE1T220810Y0196.csv,32,150374,153701,OK,OK,OK,OK,Weak Weld,Weak Weld,OK,OK,OK
112544_BM4A2NE1T220810Y0196.csv,33,153843,157169,OK,OK,,,,,,,
112544_BM4A2NE1T220810Y0196.csv,34,167965,171291,OK,OK,,,,,,,
112544_BM4A2NE1T220810Y0196.csv,35,171450,174776,OK,OK,OK,OK,Hot Melt,OK,OK,OK,OK
112718_BM4A1NE1T220810Y0198.csv,1,8777,12770,OK,OK,,,,,,,
112718_BM4A1NE1T220810Y0198.csv,2,12955,16947,OK,OK,,,,,,,
112718_BM4A1NE1T220810Y0198.csv,3,17094,21087,OK,OK,OK,OK,Weak Weld,Weak Weld,OK,OK,OK
112718_BM4A1NE1T220810Y0198.csv,4,39842,43168,OK,OK,OK,OK,Hot Melt,OK,OK,OK,OK
112718_BM4A1NE1T220810Y0198.csv,5,43356,46682,OK,OK,,,,,,,
112718_BM4A1NE1T220810Y0198.csv,6,46832,50158,OK,OK,,,,,,,
112718_BM4A1NE1T220810Y0198.csv,7,61552,63026,OK,OK,,,,,,,
112718_BM4A1NE1T220810Y0198.csv,8,63173,64647,OK,OK,OK,OK,Weak Weld,Weak Weld,OK,OK,OK
112718_BM4A1NE1T220810Y0198.csv,9,64796,66270,OK,OK,Weak Weld,Weak Weld,Poor Appearance,Weak Weld,Weak Weld,Weak Weld,OK
112718_BM4A1NE1T220810Y0198.csv,10,66431,67905,OK,OK,OK,OK,Poor Appearance,Weak Weld,OK,OK,OK
112718_BM4A1NE1T220810Y0198.csv,11,81039,82513,OK,OK,,,,,,,
112718_BM4A1NE1T220810Y0198.csv,12,82664,84138,OK,OK,,,,,,,
112718_BM4A1NE1T220810Y0198.csv,13,84283,85757,OK,OK,,,,,,,
112718_BM4A1NE1T220810Y0198.csv,14,85905,87379,OK,OK,,,,,,,
112718_BM4A1NE1T220810Y0198.csv,15,87541,89015,OK,OK,,,,,,,
112718_BM4A1NE1T220810Y0198.csv,16,89160,90634,OK,OK,,,,,,,
112718_BM4A1NE1T220810Y0198.csv,17,103038,104512,OK,OK,,,,,,,
112718_BM4A1NE1T220810Y0198.csv,18,104663,106137,OK,OK,OK,OK,Weak Weld,Weak Weld,OK,OK,OK
112718_BM4A1NE1T220810Y0198.csv,19,106286,107760,OK,OK,,,,,,,
112718_BM4A1NE1T220810Y0198.csv,20,107921,109395,OK,OK,Weak Weld,OK,Weak Weld,Weak Weld,Weak Weld,OK,OK
112718_BM4A1NE1T220810Y0198.csv,21,109574,111048,OK,OK,,,,,,,
112718_BM4A1NE1T220810Y0198.csv,22,111199,112673,OK,OK,OK,OK,OK,Weak Weld,OK,OK,OK
112718_BM4A1NE1T220810Y0198.csv,23,123811,125285,OK,OK,,,,,,,
112718_BM4A1NE1T220810Y0198.csv,24,125446,126921,OK,OK,OK,OK,Hot Melt,OK,OK,OK,OK
112718_BM4A1NE1T220810Y0198.csv,25,127066,128540,OK,OK,OK,OK,OK,OK,OK,OK,OK
112718_BM4A1NE1T220810Y0198.csv,26,128690,130164,OK,OK,,,,,,,
112718_BM4A1NE1T220810Y0198.csv,27,130327,131801,OK,OK,,,,,,,
112718_BM4A1NE1T220810Y0198.csv,28,131943,133417,OK,OK,,,,,,,
112718_BM4A1NE1T220810Y0198.csv,29,133593,135067,OK,OK,,,,,,,
112718_BM4A1NE1T220810Y0198.csv,30,135221,136695,OK,OK,OK,OK,OK,OK,OK,OK,OK
112718_BM4A1NE1T220810Y0198.csv,31,136840,138314,OK,OK,,,,,,,
112718_BM4A1NE1T220810Y0198.csv,32,148166,151493,OK,OK,,,,,,,
112718_BM4A1NE1T220810Y0198.csv,33,151637,154963,OK,OK,,,,,,,
112718_BM4A1NE1T220810Y0198.csv,34,164347,167673,OK,OK,OK,OK,Hot Melt,OK,OK,OK,OK
112718_BM4A1NE1T220810Y0198.csv,35,167831,171158,OK,OK,OK,OK,Hot Melt,OK,OK,OK,OK
112647_BM4A2NE1T220810Y0197.csv,1,7920,11912,OK,OK,OK,OK,Poor Appearance,Weak Weld,OK,OK,OK
112647_BM4A2NE1T220810Y0197.csv,2,12097,16089,OK,OK,OK,OK,Weak Weld,Weak Weld,OK,OK,OK
112647_BM4A2NE1T220810Y0197.csv,3,16236,20229,OK,OK,,,,,,,
112647_BM4A2NE1T220810Y0197.csv,4,39480,42806,OK,OK,OK,OK,Hot Melt,OK,OK,OK,OK
112647_BM4A2NE1T220810Y0197.csv,5,42989,46316,OK,OK,,,,,,,
112647_BM4A2NE1T220810Y0197.csv,6,46470,49796,OK,OK,OK,OK,Hot Melt,OK,OK,OK,OK
112647_BM4A2NE1T220810Y0197.csv,7,63783,65257,OK,OK,,,,,,,
112647_BM4A2NE1T220810Y0197.csv,8,65401,66876,OK,OK,,,,,,,
112647_BM4A2NE1T220810Y0197.csv,9,67024,68498,OK,OK,OK,OK,Weak Weld,Weak Weld,OK,OK,Weak Weld
112647_BM4A2NE1T220810Y0197.csv,10,68659,70133,OK,OK,,,,,,,
112647_BM4A2NE1T220810Y0197.csv,11,81624,83098,OK,OK,OK,OK,Hot Melt,OK,OK,OK,OK
112647_BM4A2NE1T220810Y0197.csv,12,83252,84726,OK,OK,OK,OK,OK,OK,OK,OK,OK
112647_BM4A2NE1T220810Y0197.csv,13,84868,86342,OK,OK,,,,,,,
112647_BM4A2NE1T220810Y0197.csv,14,86490,87964,OK,OK,OK,OK,Hot Melt,OK,OK,OK,OK
112647_BM4A2NE1T220810Y0197.csv,15,88126,89600,OK,OK,OK,OK,OK,OK,OK,OK,OK
112647_BM4A2NE1T220810Y0197.csv,16,89755,91229,OK,OK,,,,,,,
112647_BM4A2NE1T220810Y0197.csv,17,101300,102774,OK,OK,,,,,,,
112647_BM4A2NE1T220810Y0197.csv,18,102923,104397,OK,OK,OK,OK,Weak Weld,Weak Weld,OK,OK,OK
112647_BM4A2NE1T220810Y0197.csv,19,104561,106036,OK,OK,,,,,,,
112647_BM4A2NE1T220810Y0197.csv,20,106196,107670,OK,OK,,,,,,,
112647_BM4A2NE1T220810Y0197.csv,21,107849,109323,OK,OK,,,,,,,
112647_BM4A2NE1T220810Y0197.csv,22,109474,110948,OK,OK,OK,OK,OK,Weak Weld,OK,OK,OK
112647_BM4A2NE1T220810Y0197.csv,23,124002,125477,OK,OK,,,,,,,
112647_BM4A2NE1T220810Y0197.csv,24,125639,127113,OK,OK,OK,OK,OK,OK,OK,Hot Melt,OK
112647_BM4A2NE1T220810Y0197.csv,25,127257,128732,OK,OK,,,,,,,
112647_BM4A2NE1T220810Y0197.csv,26,128879,130353,OK,OK,OK,OK,OK,Hot Melt,Hot Melt,OK,OK
112647_BM4A2NE1T220810Y0197.csv,27,130501,131975,OK,OK,,,,,,,
112647_BM4A2NE1T220810Y0197.csv,28,132134,133608,OK,OK,OK,OK,Hot Melt,OK,OK,OK,OK
112647_BM4A2NE1T220810Y0197.csv,29,133785,135259,OK,OK,OK,OK,Hot Melt,OK,OK,OK,OK
112647_BM4A2NE1T220810Y0197.csv,30,135412,136886,OK,OK,OK,OK,OK,OK,OK,OK,OK
112647_BM4A2NE1T220810Y0197.csv,31,137031,138505,OK,OK,OK,OK,OK,OK,OK,OK,OK
112647_BM4A2NE1T220810Y0197.csv,32,152144,155471,OK,OK,,,,,,,
112647_BM4A2NE1T220810Y0197.csv,33,155614,158940,OK,OK,OK,OK,Poor Appearance,Weak Weld,OK,OK,OK
112647_BM4A2NE1T220810Y0197.csv,34,167622,170948,OK,OK,OK,OK,Hot Melt,OK,OK,OK,OK
112647_BM4A2NE1T220810Y0197.csv,35,171109,174435,OK,OK,OK,OK,Hot Melt,OK,OK,OK,OK
112005_BM4A2NE1T220810Y0192.csv,1,9214,13206,OK,OK,,,,,,,
112005_BM4A2NE1T220810Y0192.csv,2,13390,17383,OK,OK,,,,,,,
112005_BM4A2NE1T220810Y0192.csv,3,17530,21522,OK,OK,OK,OK,Weak Weld,Weak Weld,OK,OK,OK
112005_BM4A2NE1T220810Y0192.csv,4,40379,43705,OK,OK,OK,OK,Hot Melt,OK,OK,OK,OK
112005_BM4A2NE1T220810Y0192.csv,5,43894,47220,OK,OK,OK,OK,Hot Melt,OK,OK,OK,OK
112005_BM4A2NE1T220810Y0192.csv,6,47370,50696,OK,OK,OK,OK,Hot Melt,OK,OK,OK,OK
112005_BM4A2NE1T220810Y0192.csv,7,62408,63883,OK,OK,,,,,,,
112005_BM4A2NE1T220810Y0192.csv,8,64029,65503,OK,OK,,,,,,,
112005_BM4A2NE1T220810Y0192.csv,9,65651,67126,OK,OK,,,,,,,
112005_BM4A2NE1T220810Y0192.csv,10,67287,68761,OK,OK,OK,OK,Weak Weld,Weak Weld,OK,OK,OK
112005_BM4A2NE1T220810Y0192.csv,11,81133,82608,OK,OK,,,,,,,
112005_BM4A2NE1T220810Y0192.csv,12,82760,84234,OK,OK,OK,OK,OK,OK,OK,OK,OK
112005_BM4A2NE1T220810Y0192.csv,13,84382,85856,OK,OK,,,,,,,
112005_BM4A2NE1T220810Y0192.csv,14,86001,87475,OK,OK,OK,Hot Melt,Hot Melt,OK,Hot Melt,OK,OK
112005_BM4A2NE1T220810Y0192.csv,15,87641,89115,OK,OK,OK,OK,OK,OK,OK,OK,OK
112005_BM4A2NE1T220810Y0192.csv,16,89279,90753,OK,OK,OK,OK,Hot Melt,OK,OK,OK,OK
